city,utc_time,pm10_µg/m³,pm1_µg/m³,pm25_µg/m³,temperature_c,um003_particles/cm³,um050_particles/cm³,sum_mn,aimag_eng,aimag_mng
Altai,2021-07-19 00:00:00+00:00,,,,,,,Алтай,Govi-Altai,Говь-Алтай
Altai,2021-07-20 00:00:00+00:00,,,,,,,Алтай,Govi-Altai,Говь-Алтай
Altai,2021-07-21 00:00:00+00:00,,,,,,,Алтай,Govi-Altai,Говь-Алтай
Altai,2021-07-22 00:00:00+00:00,,,,,,,Алтай,Govi-Altai,Говь-Алтай
Altai,2021-07-23 00:00:00+00:00,,,,,,,Алтай,Govi-Altai,Говь-Алтай
Altai,2021-07-24 00:00:00+00:00,,,,,,,Алтай,Govi-Altai,Говь-Алтай
Altai,2021-07-25 00:00:00+00:00,,,,,,,Алтай,Govi-Altai,Говь-Алтай
Altai,2021-07-26 00:00:00+00:00,,,,,,,Алтай,Govi-Altai,Говь-Алтай
Altai,2021-07-27 00:00:00+00:00,,,,,,,Алтай,Govi-Altai,Говь-Алтай
Altai,2021-07-28 00:00:00+00:00,,,,,,,Алтай,Govi-Altai,Говь-Алтай
Altai,2021-07-29 00:00:00+00:00,,,,,,,Алтай,Govi-Altai,Говь-Алтай
Altai,2021-07-30 00:00:00+00:00,,,,,,,Алтай,Govi-Altai,Говь-Алтай
Altai,2021-07-31 00:00:00+00:00,,,,,,,Алтай,Govi-Altai,Говь-Алтай
Altai,2021-08-01 00:00:00+00:00,,,,,,,Алтай,Govi-Altai,Говь-Алтай
Altai,2021-08-02 00:00:00+00:00,,,,,,,Алтай,Govi-Altai,Говь-Алтай
Altai,2021-08-03 00:00:00+00:00,45.0,14.471988555505796,28.9,,,,Алтай,Govi-Altai,Говь-Алтай
Altai,2021-08-04 00:00:00+00:00,52.0,18.209696275946275,34.4,,,,Алтай,Govi-Altai,Говь-Алтай
Altai,2021-08-05 00:00:00+00:00,37.0,12.63077842384664,24.8,,,,Алтай,Govi-Altai,Говь-Алтай
Altai,2021-08-06 00:00:00+00:00,34.0,12.039262250121006,23.0,,,,Алтай,Govi-Altai,Говь-Алтай
Altai,2021-08-07 00:00:00+00:00,22.0,6.267746760264003,14.2,,,,Алтай,Govi-Altai,Говь-Алтай
Altai,2021-08-08 00:00:00+00:00,34.0,9.600610535020879,21.6,,,,Алтай,Govi-Altai,Говь-Алтай
Altai,2021-08-09 00:00:00+00:00,58.0,22.750325236129573,41.3,,,,Алтай,Govi-Altai,Говь-Алтай
Altai,2021-08-10 00:00:00+00:00,42.0,15.025418200345603,28.2,,,,Алтай,Govi-Altai,Говь-Алтай
Altai,2021-08-11 00:00:00+00:00,29.0,11.993120108700872,21.2,,,,Алтай,Govi-Altai,Говь-Алтай
Altai,2021-08-12 00:00:00+00:00,8.0,3.788610366318799,6.1,,,,Алтай,Govi-Altai,Говь-Алтай
Altai,2021-08-13 00:00:00+00:00,9.0,3.9894946896427164,6.7,,,,Алтай,Govi-Altai,Говь-Алтай
Altai,2021-08-14 00:00:00+00:00,6.0,2.8034420788724574,4.8,,,,Алтай,Govi-Altai,Говь-Алтай
Altai,2021-08-15 00:00:00+00:00,9.0,4.136491624851414,6.9,,,,Алтай,Govi-Altai,Говь-Алтай
Altai,2021-08-16 00:00:00+00:00,15.0,7.829122037930605,12.2,,,,Алтай,Govi-Altai,Говь-Алтай
Altai,2021-08-17 00:00:00+00:00,3.0,1.52804895151914,2.3,,,,Алтай,Govi-Altai,Говь-Алтай
Altai,2021-08-18 00:00:00+00:00,8.0,4.124681554443649,6.6,,,,Алтай,Govi-Altai,Говь-Алтай
Altai,2021-08-19 00:00:00+00:00,17.0,8.815452892406906,13.9,,,,Алтай,Govi-Altai,Говь-Алтай
Altai,2021-08-20 00:00:00+00:00,6.0,2.829495894755801,4.6,,,,Алтай,Govi-Altai,Говь-Алтай
Altai,2021-08-21 00:00:00+00:00,2.0,0.8491930607534478,1.6,,,,Алтай,Govi-Altai,Говь-Алтай
Altai,2021-08-22 00:00:00+00:00,4.0,1.7875854115927645,3.0,,,,Алтай,Govi-Altai,Говь-Алтай
Altai,2021-08-23 00:00:00+00:00,13.0,6.48359031666503,10.4,,,,Алтай,Govi-Altai,Говь-Алтай
Altai,2021-08-24 00:00:00+00:00,11.0,5.918656709991574,9.3,,,,Алтай,Govi-Altai,Говь-Алтай
Altai,2021-08-25 00:00:00+00:00,10.0,4.8341975957205845,8.0,,,,Алтай,Govi-Altai,Говь-Алтай
Altai,2021-08-26 00:00:00+00:00,4.0,2.1381538502001805,3.4,,,,Алтай,Govi-Altai,Говь-Алтай
