index,Location ID,City,Name,Start Date,geometry,nearest_city,address
56,525526,,CLEM 8,2023-01-26T08:39:16+00:00,POINT (106.88366 47.893707),Ulaanbaatar,"Khan-Uul, Ulaanbaatar, 11000, Mongolia"
57,525560,,CLEM 12,2023-01-26T08:51:24+00:00,POINT (106.88366 47.892708),Ulaanbaatar,"Khan-Uul, Ulaanbaatar, 11000, Mongolia"
58,400384,,KG-3,2022-12-06T08:06:48+00:00,POINT (106.908875 47.916645),Ulaanbaatar,"Chingeltei, Ulaanbaatar, 15170, Mongolia"
59,227900,,Kindergarten #122 Outdoor,2021-06-11T18:26:03+00:00,POINT (106.937195 47.91605),Ulaanbaatar,"Усан ориглууртай тоглоомын талбай, Сангийн хорооны гудамж, Bayanzürkh, Ulaanbaatar, 13372, Mongolia"
60,290458,,New PA Reference PA 5e9,2021-10-07T19:45:07+00:00,POINT (100.72013 46.197216),Bayankhongor,"Bayankhongor, Mongolia"
61,230491,,Umnugobi_05(ДЦС),2020-11-27T22:20:28+00:00,POINT (104.433784 43.569553),Dalanzadgad,"Dalanzadgad, Ömnögovi, Mongolia"
62,230508,,Khubsgul_01,2020-11-27T22:23:09+00:00,POINT (100.16647 49.638718),Murun,"A0902, Murun, Hovsgel, 97638, Mongolia"
63,288892,,KG5_outdoor,2022-02-16T06:56:08+00:00,POINT (100.721695 46.193),Bayankhongor,"5-р сургууль, Three Zone Avenue, Bayankhongor, Mongolia"
64,289726,,Innovation Center (3575),2022-02-17T04:20:11+00:00,POINT (100.724014 46.21087),Bayankhongor,"Bayankhongor, Mongolia"
65,288931,,KG6_outdoor,2022-02-16T07:44:15+00:00,POINT (100.70144 46.198566),Bayankhongor,"Bayankhongor-Jargalant, Bayankhongor, Mongolia"
66,288960,,KG16_outdoor,2022-02-16T08:27:21+00:00,POINT (100.7127 46.190166),Bayankhongor,"Bayankhongor, Mongolia"
67,222045,,PLM/GTes,2021-03-09T07:17:26+00:00,POINT (101.27795 42.997803),Gurvantes,"Gurvantes, Ömnögovi, Mongolia"
68,230500,,Arkhangai_01(Цаг уур),2020-11-27T22:20:43+00:00,POINT (101.46247 47.47228),Erdenebulgan,"Erdenebulgan, Arkhangai, 65000, Mongolia"
69,66073,,Shadivlan,2021-01-19T23:59:41+00:00,POINT (106.93127 48.01289),Ulaanbaatar,"Dambadarjaa, Sükhbaatar, Ulaanbaatar, 15110, Mongolia"
70,230488,,Shariin gol_02 (ЗДТГ),2020-11-25T22:18:48+00:00,POINT (106.426125 49.248817),Shariin Gol,"15-р байр, Shariingol, Sharyn gol, Darkhan-Uul, 45010, Mongolia"
71,230504,,Darkhan_03,2020-11-27T22:23:43+00:00,POINT (105.97347 49.45811),Darkhan,"Дархан ХААИС, Нью-Иорк толгойн зам, Darkhan, Darkhan-Uul, 45040, Mongolia"
72,227899,,Kindergarten #45 Outdoor,2021-06-11T18:19:43+00:00,POINT (106.93601 47.93571),Ulaanbaatar,"Dari-Ekh, Bayanzürkh, Ulaanbaatar, 14171, Mongolia"
73,275090,,PA_f2d9,2022-01-07T09:30:35+00:00,POINT (100.72008 46.196995),Bayankhongor,"Bayankhongor, Mongolia"
74,289785,,Background,2021-10-07T19:45:12+00:00,POINT (100.70898 46.17424),Bayankhongor,"niseh zurvas, Southern Route, Bayankhongor, Mongolia"
75,66074,,SkhD34_PLM,2021-01-19T23:58:35+00:00,POINT (106.75255 47.920265),Ulaanbaatar,"Orbit, Songino Khairkhan, Ulaanbaatar, 18130, Mongolia"
76,230645,,Mondavs,2021-08-02T10:49:24+00:00,POINT (106.9452 47.9261),Ulaanbaatar,"Dari-Ekh, Bayanzürkh, Ulaanbaatar, 13345, Mongolia"
77,70913,,Officer_PLM,2021-01-14T01:18:51+00:00,POINT (106.97516 47.915367),Ulaanbaatar,"Anu Undral, 4-р байр, Peace Avenue, Tsayz, Bayanzürkh, Ulaanbaatar, 13331, Mongolia"
78,65972,,PLM/FTKH,2021-01-19T23:59:06+00:00,POINT (106.9718 47.9154),Ulaanbaatar,"Шинжлэх ухааны 2-р хүрээлэн, 54B, Peace Avenue, Tsayz, Bayanzürkh, Ulaanbaatar, 13331, Mongolia"
79,70359,,UNESCO & Olympic,2021-01-14T01:19:06+00:00,POINT (106.925 47.9117),Ulaanbaatar,"UNESCO Street, Baga Toirog, Sükhbaatar, Ulaanbaatar, 14220, Mongolia"
80,399296,,Ulaanbaatar,2021-02-02T19:35:12+00:00,POINT (106.93716 47.910355),Ulaanbaatar,"Bayanzürkh, Ulaanbaatar, 13372, Mongolia"
81,59,,Nisekh,2016-02-16T07:00:00+00:00,POINT (106.779094 47.863943),Ulaanbaatar,"Нисэх ᠨᠢᠰᠬᠦ, Khan-Uul, Ulaanbaatar, 16103, Mongolia"
82,19,,MNB,2016-01-30T00:30:00+00:00,POINT (106.888629 47.929732),Ulaanbaatar,"Хувьсгалын зам, Gandan, Chingeltei, Ulaanbaatar, 16063, Mongolia"
83,23,,Amgalan,2016-01-30T00:30:00+00:00,POINT (106.99790699999998 47.913429),Ulaanbaatar,"Цагдаагийн академийн өргөн чөлөө, Ulaankhuaran, Bayanzürkh, Ulaanbaatar, 13260, Mongolia"
84,811,,Tolgoit,2016-01-30T00:30:00+00:00,POINT (106.794805 47.922495),Ulaanbaatar,"Толгойтын гудамж, Songino Khairkhan, Ulaanbaatar, 18130, Mongolia"
85,46,,Bukhiin urguu,2016-01-30T00:15:00+00:00,POINT (106.93736109999999 47.9176056),Ulaanbaatar,"Bayanzürkh, Ulaanbaatar, 13344, Mongolia"
86,48,,Baruun 4 zam,2016-01-30T00:15:00+00:00,POINT (106.89419440000002 47.9153833),Ulaanbaatar,"Барилгын коллеж, Peace Avenue, Gandan, Bayangol, Ulaanbaatar, 16053, Mongolia"
87,6523,,1-r khoroolol,2019-03-01T07:45:00+00:00,POINT (106.848061 47.917981),Ulaanbaatar,"72а, Хайрхан-3, 1-р хороолол, Songino Khairkhan, Ulaanbaatar, 16094, Mongolia"
88,2275,,Bayankhoshuu,2016-05-25T09:00:00+00:00,POINT (106.822752 47.95756),Ulaanbaatar,"Bayankhoshuu, Songino Khairkhan, Ulaanbaatar, Mongolia"
89,6489,,1-r khoroolol,2019-03-01T06:45:00+00:00,POINT (106.505302 47.550473),Ulaanbaatar,"Altanbulag, Töv, Mongolia"
90,2448,,US Diplomatic Post: Ulaanbaatar,2016-01-30T01:00:00+00:00,POINT (106.930189 47.928444),Ulaanbaatar,"Embassy of the United States, Денверийн гудамж, Baga Toirog, Sükhbaatar, Ulaanbaatar, 14171, Mongolia"
