index,Location ID,City,Name,Start Date,geometry,address,nearest_city
0,227901,,NAMEM Site near KG200,2021-06-11T18:43:19+00:00,POINT (107.118 47.8665),"Bayanzürkh, Ulaanbaatar, Mongolia",Улаанбаатар ᠤᠯᠠᠭᠠᠨᠪᠠᠭᠠᠲᠤᠷ
1,358188,,Maral hospital,2022-09-09T04:49:51+00:00,POINT (106.963264 47.918804),"Tsayz, Bayanzürkh, Ulaanbaatar, 13330, Mongolia",Улаанбаатар ᠤᠯᠠᠭᠠᠨᠪᠠᠭᠠᠲᠤᠷ
2,230482,,Zuunkharaa_01(Худалдааны гудамж),2020-11-27T22:24:22+00:00,POINT (106.45544 48.98557),"Bayangol, Selenge, Mongolia",
3,232310,,Gobisumber_05 (Цаг уур),2021-08-16T07:04:20+00:00,POINT (108.380165 46.49039),"Bayantal, Govisumber, Mongolia",
4,234145,,Umnugobi_03(90 орт),2023-05-23T17:57:18+00:00,POINT (104.4227 43.56753),"Dalanzadgad, Ömnögovi, Mongolia",Даланзадгад ᠳᠠᠯᠠᠨᠵᠠᠳᠠᠭᠠᠳ
5,525523,,Khuvsgul_01,2023-08-03T05:31:32+00:00,POINT (100.16647 49.638718),"A0902, Murun, Hovsgel, 97638, Mongolia",Мөрөн ᠮᠥᠷᠡᠨ
6,490990,,Dynamic office,2021-01-05T21:43:05+00:00,POINT (106.908615 47.892483),"Zaisan, Khan-Uul, Ulaanbaatar, 17029, Mongolia",Улаанбаатар ᠤᠯᠠᠭᠠᠨᠪᠠᠭᠠᠲᠤᠷ
7,230483,,Ubs_01(Цаг уур),2023-05-23T17:29:27+00:00,POINT (92.06861 49.971558),"Ulaangom, Uvs, Mongolia",Улаангом ᠤᠯᠠᠭᠠᠩᠭ᠋ᠣᠮ
8,230481,,Khobd_01(Цаг уур),2020-11-27T22:20:43+00:00,POINT (91.63353 47.995724),"6-р цэцэрлэг, Duut Road, Khovd, Jargalant, Khovd, 84000, Mongolia",Ховд
9,230697,,Uburkhangai_01( Хас банк),2021-08-03T02:23:55+00:00,POINT (102.77983 46.263027),"Renchinpelje Street, Arvaikheer, Övörkhangai, Mongolia",Арвайхээр ᠠᠷᠪᠠᠶᠢᠬᠡᠭᠡᠷ
10,525544,,Darkhan_01,2023-01-26T08:51:18+00:00,POINT (105.94039 49.49008),"гүлс гүлс авто угаалга, A0401, Darkhan, Darkhan-Uul, 49000, Mongolia",Дархан ᠳᠠᠷᠬᠠᠨ
11,230489,,bayan-Ulgii_01(Цаг уур),2020-11-25T22:18:48+00:00,POINT (89.96492 48.96925),"Ölgii, Bayan-Ölgii, 83120, Mongolia",Өлгий
12,230642,,Dornogobi_01(Цаг уур),2021-08-02T04:42:02+00:00,POINT (110.14117 44.89325),"машин зам, Sainshand, Dornogovi, Mongolia",Сайншанд ᠰᠠᠶᠢᠨᠱᠠᠩᠳᠠ
13,230512,,bulgan_01(Цаг уур),2021-07-30T06:01:55+00:00,POINT (103.51873 48.81829),"Bulgan, Mongolia",Булган ᠪᠤᠯᠠᠭᠠᠨ
14,525536,,Arkhangai,2023-01-26T08:49:40+00:00,POINT (101.46247 47.47228),"Erdenebulgan, Arkhangai, 65000, Mongolia",Эрдэнэбулган ᠡᠷᠳᠡᠨᠢᠪᠤᠯᠠᠭᠠᠨ
15,525529,,Zavkhan_01,2023-07-31T05:26:42+00:00,POINT (96.843025 47.74261),"Uliastai, Zavkhan, Mongolia",Улиастай
16,230510,,Dundgobi_01(Цаг уур),2023-05-23T17:29:23+00:00,POINT (106.27489 45.767166),"Цаг уурын төв, Улаанбаатар - Мандалговь, Mandalgovi, Saintsagaan, Dundgovi, 48000, Mongolia",Мандалговь
17,525556,,Selenge_01,2023-01-26T08:55:44+00:00,POINT (106.192795 50.23964),"Sükhbaatar, Sukhbaatar, Selenge, Mongolia",Сүхбаатар
18,230487,,Dornod_01(Цаг уур),2020-11-27T22:22:52+00:00,POINT (114.537224 48.080276),"10 -Р БАГ, Цаг уур, Choibalsan, Kherlen, Dornod, Mongolia",Чойбалсан
19,525532,,Sukhbaatar_01,2023-01-26T08:29:05+00:00,POINT (113.28328 46.672695),"Baruun-Urt, Sükhbaatar, 22070, Mongolia",Баруун-Урт ᠪᠠᠷᠠᠭᠤᠨ ᠤᠷᠲᠤ
20,72184,,Shangri-La,2023-05-23T18:00:37+00:00,POINT (106.92244 47.91247),"National Amusement Park of Mongolia, Chinggis Avenue, Baga Toirog, Sükhbaatar, Ulaanbaatar, 15650, Mongolia",Улан-Батор
21,230505,,Gobi-Altai_01 (Эрүүл мэндийн газар),2023-05-23T18:00:29+00:00,POINT (96.261444 46.37375),"Altai, Yesönbulag, Govi-Altai, Mongolia",Алтай
22,525503,,Khentii_01,2023-08-18T09:30:01+00:00,POINT (110.662 47.322),"Enderkhaan, Kherlen, Khentii, 93110, Mongolia",Өндөрхаан
23,8160,N/A,Ulaanbaatar,2016-11-09T17:00:00+00:00,POINT (106.92947 47.928385),"Embassy of the United States, Денверийн гудамж, Baga Toirog, Sükhbaatar, Ulaanbaatar, 14171, Mongolia",Улаанбаатар ᠤᠯᠠᠭᠠᠨᠪᠠᠭᠠᠲᠤᠷ
24,226883,,Tub_01(Цаг уур),2023-05-23T17:29:54+00:00,POINT (106.901886 47.7125),"Ulaanbaatar - Mandalgovi Highway, Sergelen, Töv, Mongolia",
25,400577,,MUST BEEC,2023-09-12T02:48:12+00:00,POINT (106.925125 47.921803),"Beijing Street, Baga Toirog, Sükhbaatar, Ulaanbaatar, 14120, Mongolia",Улаанбаатар ᠤᠯᠠᠭᠠᠨᠪᠠᠭᠠᠲᠤᠷ
26,275089,,PA_dae4,2022-01-07T09:30:35+00:00,POINT (100.72008 46.196995),"Bayankhongor, Mongolia",Баянхонгор ᠪᠠᠶᠠᠨᠬᠣᠩᠭᠣᠷ
27,234146,,Umnugobi_04(5-р сургууль),2023-06-07T15:24:31+00:00,POINT (104.42727 43.58554),"Булган - Даланзадгад, Dalanzadgad, Ömnögovi, Mongolia",Даланзадгад ᠳᠠᠯᠠᠨᠵᠠᠳᠠᠭᠠᠳ
28,230484,,Umnugobi_01( Цаг уур),2023-05-23T17:29:44+00:00,POINT (104.41902 43.57705),"Dalanzadgad, Ömnögovi, Mongolia",Даланзадгад ᠳᠠᠯᠠᠨᠵᠠᠳᠠᠭᠠᠳ
